4 , 6 , 4 , 0 , 4 , 0 , 3 , 0 , 5 , 5 , 0 , 3 , 4
6 , 4 , 0 , 2 , 8 , 4 , 0 , 2 , 8 , 6 , 5 , 0 , 5
5 , 0 , 5 , 0 , 5 , 8 , 6 , 0 , 5 , 0 , 7 , 4 , 6
5 , 6 , 8 , 4 , 0 , 7 , 8 , 2 , 0 , 3 , 7 , 0 , 5
0 , 6 , 4 , 0 , 4 , 6 , 7 , 0 , 4 , 0 , 4 , 6 , 6
5 , 5 , 0 , 4 , 7 , 0 , 7 , 5 , 8 , 6 , 0 , 7 , 5
5 , 0 , 3 , 0 , 6 , 0 , 5 , 0 , 4 , 7 , 0 , 5 , 0
6 , 4 , 0 , 4 , 7 , 0 , 7 , 5 , 0 , 4 , 0 , 7 , 5
6 , 8 , 7 , 6 , 8 , 6 , 6 , 0 , 2 , 0 , 4 , 7 , 5
6 , 7 , 6 , 0 , 7 , 7 , 7 , 4 , 0 , 0 , 0 , 0 , 0
4 , 0 , 0 , 4 , 6 , 0 , 0 , 0 , 3 , 0 , 6 , 6 , 4
6 , 7 , 7 , 8 , 8 , 7 , 7 , 5 , 0 , 2 , 6 , 0 , 0
4 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 4 , 0 , 5 , 5 , 3
