3 , 5 , 6 , 5 , 5 , 5 , 5 , 0 , 4 , 6 , 4 , 6 , 4
0 , 0 , 3 , 0 , 0 , 0 , 4 , 4 , 0 , 3 , 0 , 6 , 5
5 , 5 , 0 , 5 , 7 , 6 , 0 , 7 , 4 , 0 , 1 , 0 , 0
6 , 8 , 5 , 6 , 7 , 6 , 0 , 6 , 0 , 4 , 0 , 6 , 5
5 , 6 , 0 , 0 , 0 , 0 , 4 , 7 , 0 , 6 , 0 , 6 , 6
0 , 6 , 7 , 7 , 7 , 7 , 6 , 8 , 6 , 8 , 2 , 0 , 4
5 , 8 , 7 , 8 , 8 , 6 , 0 , 7 , 8 , 7 , 0 , 6 , 6
6 , 6 , 0 , 4 , 6 , 0 , 4 , 7 , 8 , 8 , 6 , 7 , 6
6 , 8 , 4 , 0 , 6 , 6 , 6 , 0 , 6 , 8 , 6 , 0 , 3
6 , 6 , 0 , 3 , 0 , 0 , 4 , 7 , 7 , 8 , 8 , 3 , 0
4 , 0 , 4 , 8 , 7 , 6 , 0 , 5 , 0 , 6 , 7 , 0 , 4
6 , 7 , 8 , 8 , 7 , 7 , 0 , 7 , 6 , 8 , 7 , 0 , 5
4 , 6 , 6 , 6 , 5 , 6 , 4 , 6 , 5 , 6 , 6 , 4 , 4
