4 , 6 , 6 , 6 , 6 , 6 , 3 , 0 , 2 , 0 , 5 , 4 , 6 , 5 , 0 , 5 , 5 , 0 , 5 , 4
6 , 6 , 8 , 8 , 8 , 5 , 0 , 4 , 0 , 4 , 6 , 0 , 7 , 8 , 5 , 8 , 6 , 0 , 7 , 6
5 , 0 , 7 , 6 , 7 , 0 , 4 , 8 , 2 , 0 , 0 , 2 , 8 , 4 , 0 , 4 , 0 , 2 , 8 , 5
4 , 0 , 6 , 0 , 7 , 2 , 0 , 3 , 0 , 5 , 6 , 0 , 5 , 0 , 5 , 8 , 6 , 0 , 5 , 0
0 , 2 , 8 , 5 , 6 , 0 , 3 , 0 , 1 , 0 , 4 , 4 , 0 , 2 , 0 , 5 , 7 , 6 , 7 , 4
4 , 0 , 5 , 0 , 0 , 3 , 0 , 3 , 0 , 4 , 0 , 7 , 7 , 8 , 4 , 0 , 0 , 2 , 0 , 0
6 , 4 , 8 , 5 , 7 , 8 , 2 , 0 , 2 , 0 , 2 , 8 , 8 , 4 , 0 , 3 , 6 , 0 , 5 , 4
5 , 0 , 6 , 0 , 7 , 7 , 0 , 5 , 8 , 6 , 0 , 6 , 7 , 0 , 5 , 0 , 7 , 4 , 0 , 0
5 , 0 , 7 , 4 , 8 , 7 , 4 , 0 , 6 , 7 , 4 , 0 , 4 , 6 , 8 , 6 , 6 , 8 , 7 , 5
5 , 0 , 6 , 0 , 5 , 0 , 4 , 7 , 4 , 0 , 5 , 5 , 0 , 6 , 7 , 7 , 0 , 6 , 8 , 5
5 , 0 , 5 , 6 , 6 , 6 , 0 , 5 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 6 , 2 , 0 , 2 , 0
6 , 5 , 0 , 6 , 0 , 7 , 2 , 0 , 2 , 0 , 3 , 6 , 0 , 6 , 7 , 6 , 0 , 5 , 0 , 4
6 , 7 , 6 , 7 , 0 , 6 , 0 , 5 , 7 , 6 , 0 , 7 , 4 , 8 , 4 , 0 , 4 , 7 , 0 , 5
4 , 0 , 6 , 6 , 0 , 7 , 4 , 0 , 0 , 6 , 6 , 6 , 0 , 6 , 0 , 5 , 8 , 7 , 0 , 5
6 , 7 , 4 , 0 , 2 , 8 , 6 , 7 , 5 , 8 , 4 , 0 , 2 , 8 , 2 , 0 , 6 , 5 , 0 , 5
6 , 7 , 0 , 5 , 0 , 6 , 0 , 5 , 0 , 6 , 0 , 5 , 0 , 5 , 0 , 6 , 6 , 0 , 5 , 6
5 , 7 , 6 , 7 , 0 , 6 , 4 , 0 , 4 , 7 , 0 , 7 , 2 , 0 , 3 , 5 , 0 , 4 , 7 , 5
0 , 0 , 6 , 6 , 4 , 0 , 6 , 6 , 7 , 7 , 0 , 6 , 0 , 4 , 0 , 0 , 5 , 5 , 0 , 0
5 , 5 , 7 , 0 , 7 , 7 , 6 , 0 , 0 , 4 , 6 , 6 , 6 , 6 , 7 , 7 , 4 , 0 , 5 , 5
3 , 0 , 4 , 0 , 5 , 6 , 6 , 5 , 4 , 0 , 4 , 0 , 4 , 0 , 5 , 5 , 0 , 4 , 6 , 4
