4 , 5 , 6 , 5 , 0 , 5 , 4 , 6 , 3 , 0 , 5 , 6 , 5 , 4 , 0 , 4 , 4
4 , 0 , 6 , 7 , 6 , 6 , 0 , 5 , 0 , 4 , 8 , 4 , 0 , 0 , 2 , 0 , 4
6 , 7 , 4 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 6 , 7 , 8 , 7 , 6
5 , 7 , 0 , 6 , 8 , 5 , 0 , 5 , 0 , 4 , 0 , 4 , 7 , 8 , 6 , 8 , 6
0 , 5 , 0 , 7 , 6 , 0 , 4 , 8 , 2 , 0 , 0 , 0 , 0 , 4 , 0 , 6 , 6
5 , 8 , 6 , 8 , 7 , 7 , 8 , 7 , 0 , 5 , 0 , 6 , 5 , 0 , 0 , 0 , 3
6 , 8 , 8 , 4 , 0 , 4 , 8 , 7 , 0 , 6 , 0 , 5 , 8 , 6 , 0 , 4 , 0
6 , 8 , 6 , 0 , 5 , 0 , 7 , 5 , 0 , 6 , 5 , 0 , 6 , 6 , 0 , 6 , 5
6 , 5 , 0 , 4 , 7 , 6 , 5 , 0 , 2 , 0 , 5 , 3 , 0 , 0 , 0 , 0 , 4
3 , 0 , 5 , 6 , 0 , 4 , 0 , 2 , 0 , 1 , 0 , 0 , 4 , 6 , 0 , 6 , 6
0 , 4 , 8 , 6 , 5 , 0 , 0 , 0 , 4 , 0 , 6 , 4 , 0 , 6 , 6 , 7 , 5
2 , 0 , 5 , 0 , 7 , 5 , 0 , 6 , 6 , 0 , 4 , 0 , 5 , 8 , 6 , 0 , 0
0 , 5 , 6 , 6 , 4 , 0 , 4 , 6 , 0 , 0 , 0 , 4 , 8 , 8 , 8 , 6 , 5
5 , 7 , 0 , 6 , 0 , 6 , 7 , 8 , 5 , 0 , 4 , 0 , 6 , 7 , 6 , 0 , 4
5 , 8 , 6 , 6 , 6 , 4 , 0 , 2 , 0 , 4 , 8 , 5 , 6 , 0 , 6 , 6 , 5
0 , 6 , 7 , 0 , 6 , 0 , 3 , 0 , 6 , 6 , 7 , 0 , 5 , 7 , 6 , 0 , 0
3 , 6 , 5 , 0 , 5 , 3 , 0 , 3 , 5 , 0 , 5 , 3 , 0 , 5 , 6 , 5 , 3
